,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,has_pool,has_remodel,price_per_sqft,neighborhood_price_high,neighborhood_price_low,housing_stock
0,109,533352170,60,RL,,13517,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,RRAe,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,CBlock,3.0,3.0,No,5.0,533.0,0.0,0.0,192.0,725.0,GasA,5,1,SBrkr,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,Typ,0,,Attchd,1976.0,RFn,2.0,475.0,3.0,3.0,1.0,0,44,0,0,0,None,None,0,3,2010,WD ,130500,0,1,88.23529411764706,0,1,4
1,544,531379050,60,RL,43.0,11492,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,PConc,4.0,3.0,No,5.0,637.0,0.0,0.0,276.0,913.0,GasA,5,1,SBrkr,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,Typ,1,3.0,Attchd,1997.0,RFn,2.0,559.0,3.0,3.0,1.0,0,74,0,0,0,None,None,0,4,2009,WD ,220000,0,1,103.67577756833177,0,0,3
2,153,535304180,20,RL,68.0,7922,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,CBlock,3.0,3.0,No,5.0,731.0,0.0,0.0,326.0,1057.0,GasA,3,1,SBrkr,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,Typ,0,,Detchd,1953.0,Unf,1.0,246.0,3.0,3.0,1.0,0,52,0,0,0,None,None,0,1,2010,WD ,109000,0,1,103.12204351939451,0,0,5
3,318,916386060,60,RL,73.0,9802,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,No,0.0,0.0,0.0,0.0,384.0,384.0,GasA,4,1,SBrkr,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,Typ,0,,BuiltIn,2007.0,Fin,2.0,400.0,3.0,3.0,1.0,100,0,0,0,0,None,None,0,4,2010,WD ,174000,0,1,120.49861495844875,0,0,2
4,255,906425045,50,RL,82.0,14235,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,PConc,2.0,4.0,No,0.0,0.0,0.0,0.0,676.0,676.0,GasA,3,1,SBrkr,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,Typ,0,,Detchd,1957.0,Unf,2.0,484.0,3.0,3.0,0.0,0,59,0,0,0,None,None,0,3,2010,WD ,138500,0,1,95.8477508650519,0,0,3
5,138,535126040,20,RL,137.0,16492,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,CBlock,3.0,3.0,No,4.0,247.0,2.0,713.0,557.0,1517.0,GasA,5,1,SBrkr,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,Mod,1,4.0,Attchd,1966.0,Fin,2.0,578.0,3.0,3.0,1.0,0,0,0,0,0,None,None,0,6,2010,WD ,190000,0,1,100.63559322033899,0,0,5
6,2827,908186070,180,RM,35.0,3675,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,PConc,4.0,3.0,Gd,5.0,547.0,0.0,0.0,0.0,547.0,GasA,4,1,SBrkr,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,Typ,0,,Basment,2005.0,Fin,2.0,525.0,3.0,3.0,1.0,0,44,0,0,0,None,None,0,6,2006,New,140000,0,1,130.59701492537314,0,0,4
7,145,535154050,20,RL,,12160,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,CBlock,3.0,3.0,No,2.0,1000.0,0.0,0.0,188.0,1188.0,GasA,2,1,SBrkr,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,Typ,0,,Attchd,1959.0,RFn,2.0,531.0,3.0,3.0,1.0,0,0,0,0,0,MnPrv,None,0,5,2010,COD,142000,0,0,119.52861952861953,0,0,5
8,1942,535353130,20,RL,,15783,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,CBlock,3.0,3.0,No,2.0,292.0,0.0,0.0,632.0,924.0,GasA,3,1,SBrkr,924,0,0,924,0.0,0.0,1,0,2,1,3,6,Typ,0,,Detchd,1952.0,Unf,1.0,420.0,3.0,3.0,1.0,0,324,0,0,0,MnPrv,Shed,400,6,2007,WD ,112500,0,0,121.75324675324676,0,0,4
9,1956,535426130,60,RL,70.0,11606,Pave,None,IR1,HLS,AllPub,Inside,Sev,NAmes,Norm,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,PConc,4.0,3.0,Av,2.0,650.0,0.0,0.0,390.0,1040.0,GasA,3,1,SBrkr,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,Typ,2,3.0,Attchd,1969.0,Unf,2.0,504.0,3.0,3.0,1.0,335,0,0,0,0,None,None,0,9,2007,WD ,135000,0,0,64.90384615384616,0,1,5
10,1044,527451290,160,RM,21.0,1680,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,3,3,CBlock,3.0,3.0,No,4.0,387.0,0.0,0.0,96.0,483.0,GasA,3,1,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,3,4,Typ,0,,Detchd,1971.0,Unf,1.0,264.0,3.0,3.0,1.0,0,0,0,0,0,None,None,0,7,2008,COD,85400,0,0,86.52482269503547,0,1,1
11,2752,906380150,20,RL,64.0,7488,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2005,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,Av,5.0,393.0,0.0,0.0,815.0,1208.0,GasA,5,1,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4,6,Typ,0,,Attchd,2005.0,RFn,2.0,632.0,3.0,3.0,1.0,105,58,0,0,0,None,None,0,2,2006,WD ,183600,0,0,151.98675496688742,0,0,4
12,807,906226060,70,RL,120.0,26400,Pave,None,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,1880,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,0.0,,,,0.0,,0.0,0.0,0.0,GasA,5,1,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,3,7,Mod,1,3.0,Attchd,1900.0,Unf,2.0,576.0,3.0,3.0,,0,0,0,0,0,None,None,0,6,2009,WD ,131000,0,1,64.98015873015873,0,1,3
13,1177,533236070,160,FV,24.0,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,1999,2000,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4,3,PConc,4.0,3.0,No,5.0,813.0,0.0,0.0,147.0,960.0,GasA,5,1,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4,7,Typ,0,,Detchd,2000.0,Unf,2.0,480.0,3.0,3.0,1.0,169,0,0,0,0,None,None,0,12,2008,ConLD,200000,0,1,124.45550715619166,0,0,4
14,1480,907418040,20,RL,74.0,9627,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4.0,3.0,Av,5.0,24.0,0.0,0.0,1327.0,1351.0,GasA,5,1,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4,6,Typ,0,,Attchd,2007.0,RFn,2.0,610.0,3.0,3.0,1.0,0,50,0,0,0,None,None,0,6,2008,WD ,193000,0,0,141.80749448934606,0,0,4
15,324,923202105,20,RL,93.0,10114,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,5.0,3.0,Av,0.0,0.0,0.0,0.0,1430.0,1430.0,GasA,5,1,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4,7,Typ,0,,Attchd,2004.0,RFn,2.0,624.0,3.0,3.0,1.0,0,0,0,0,0,None,None,0,3,2010,WD ,173500,0,1,121.32867132867133,0,0,3
16,1311,902301140,70,RM,34.0,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,1916,1950,Gable,CompShg,AsbShng,AsbShng,None,0.0,3,3,BrkTil,3.0,3.0,No,0.0,0.0,0.0,0.0,624.0,624.0,GasA,2,0,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,3,7,Typ,0,,Detchd,1916.0,Unf,3.0,513.0,2.0,2.0,1.0,0,0,96,0,0,None,None,0,5,2008,COD,98000,0,1,72.91666666666667,0,1,4
17,770,905101490,20,RL,80.0,8816,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1963,1963,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,3.0,3.0,No,2.0,651.0,0.0,0.0,470.0,1121.0,GasA,3,1,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,3,5,Typ,0,,Detchd,1963.0,Unf,2.0,480.0,3.0,3.0,1.0,0,80,0,0,0,MnPrv,None,0,6,2009,WD ,139000,0,0,123.9964317573595,0,0,4
18,2063,905107140,20,RL,71.0,8197,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,3,3,CBlock,3.0,3.0,No,0.0,0.0,0.0,0.0,660.0,660.0,GasA,5,1,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,3,7,Typ,1,3.0,Attchd,1977.0,RFn,2.0,528.0,3.0,3.0,1.0,138,0,0,0,0,MnPrv,None,0,4,2007,WD ,143500,0,0,111.67315175097276,0,0,4
19,69,528458070,60,FV,72.0,8640,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4.0,3.0,Mn,5.0,24.0,0.0,0.0,732.0,756.0,GasA,5,1,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4,7,Typ,0,,Attchd,2009.0,Unf,2.0,614.0,3.0,3.0,1.0,169,45,0,0,0,None,None,0,6,2010,Con,215200,0,0,139.10795087265674,0,0,4
20,2062,905106150,20,RL,109.0,8724,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,4.0,3.0,No,3.0,492.0,0.0,0.0,402.0,894.0,GasA,4,1,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,3,5,Typ,1,1.0,Attchd,1968.0,Fin,2.0,450.0,3.0,3.0,1.0,0,0,0,0,0,None,None,0,5,2007,WD ,129000,0,0,144.29530201342283,0,0,4
